game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,away_team_espn_abbr,home_team_espn_abbr
game_0021900001,10/22/19,8:00 PM,NOP,TOR,New Orleans Pelicans,Toronto Raptors,1,1,no,tor
game_0021900002,10/22/19,10:30 PM,LAL,LAC,Los Angeles Lakers,LA Clippers,2,1,lal,lac
game_0021900003,10/23/19,7:00 PM,CHI,CHA,Chicago Bulls,Charlotte Hornets,1,1,chi,cha
game_0021900005,10/23/19,7:00 PM,CLE,ORL,Cleveland Cavaliers,Orlando Magic,2,2,cle,orl
game_0021900004,10/23/19,7:00 PM,DET,IND,Detroit Pistons,Indiana Pacers,3,3,det,ind
game_0021900008,10/23/19,7:30 PM,BOS,PHI,Boston Celtics,Philadelphia 76ers,4,1,bos,phi
game_0021900007,10/23/19,7:30 PM,MEM,MIA,Memphis Grizzlies,Miami Heat,5,2,mem,mia
game_0021900006,10/23/19,7:30 PM,MIN,BKN,Minnesota Timberwolves,Brooklyn Nets,6,3,min,bkn
game_0021900010,10/23/19,8:30 PM,NYK,SAS,New York Knicks,San Antonio Spurs,7,1,nyk,sas
game_0021900009,10/23/19,8:30 PM,WAS,DAL,Washington Wizards,Dallas Mavericks,8,2,was,dal
game_0021900011,10/23/19,9:00 PM,OKC,UTA,Oklahoma City Thunder,Utah Jazz,9,1,okc,uth
game_0021900013,10/23/19,10:00 PM,DEN,POR,Denver Nuggets,Portland Trail Blazers,10,1,den,por
game_0021900012,10/23/19,10:00 PM,SAC,PHX,Sacramento Kings,Phoenix Suns,11,2,sac,phx
game_0021900014,10/24/19,7:00 PM,ATL,DET,Atlanta Hawks,Detroit Pistons,1,1,atl,det
game_0021900015,10/24/19,8:00 PM,MIL,HOU,Milwaukee Bucks,Houston Rockets,2,1,mil,hou
game_0021900016,10/24/19,10:30 PM,LAC,GSW,LA Clippers,Golden State Warriors,3,1,lac,gsw
game_0021900018,10/25/19,7:00 PM,MIN,CHA,Minnesota Timberwolves,Charlotte Hornets,1,1,min,cha
game_0021900017,10/25/19,7:00 PM,TOR,BOS,Toronto Raptors,Boston Celtics,2,2,tor,bos
game_0021900019,10/25/19,7:30 PM,NYK,BKN,New York Knicks,Brooklyn Nets,3,1,nyk,bkn
game_0021900020,10/25/19,8:00 PM,CHI,MEM,Chicago Bulls,Memphis Grizzlies,4,1,chi,mem
game_0021900021,10/25/19,8:00 PM,DAL,NOP,Dallas Mavericks,New Orleans Pelicans,5,2,dal,no
game_0021900022,10/25/19,8:00 PM,WAS,OKC,Washington Wizards,Oklahoma City Thunder,6,3,was,okc
game_0021900023,10/25/19,9:00 PM,PHX,DEN,Phoenix Suns,Denver Nuggets,7,1,phx,den
game_0021900024,10/25/19,10:00 PM,POR,SAC,Portland Trail Blazers,Sacramento Kings,8,1,por,sac
game_0021900025,10/25/19,10:30 PM,UTA,LAL,Utah Jazz,Los Angeles Lakers,9,1,uth,lal
game_0021900026,10/26/19,5:00 PM,MIA,MIL,Miami Heat,Milwaukee Bucks,1,1,mia,mil
game_0021900027,10/26/19,7:00 PM,PHI,DET,Philadelphia 76ers,Detroit Pistons,2,1,phi,det
game_0021900029,10/26/19,7:30 PM,BOS,NYK,Boston Celtics,New York Knicks,3,1,bos,nyk
game_0021900028,10/26/19,7:30 PM,ORL,ATL,Orlando Magic,Atlanta Hawks,4,2,orl,atl
game_0021900030,10/26/19,8:00 PM,IND,CLE,Indiana Pacers,Cleveland Cavaliers,5,1,ind,cle
game_0021900032,10/26/19,8:00 PM,NOP,HOU,New Orleans Pelicans,Houston Rockets,6,2,no,hou
game_0021900031,10/26/19,8:00 PM,TOR,CHI,Toronto Raptors,Chicago Bulls,7,3,tor,chi
game_0021900033,10/26/19,8:30 PM,WAS,SAS,Washington Wizards,San Antonio Spurs,8,1,was,sas
game_0021900034,10/26/19,9:00 PM,SAC,UTA,Sacramento Kings,Utah Jazz,9,1,sac,uth
game_0021900035,10/26/19,10:00 PM,LAC,PHX,LA Clippers,Phoenix Suns,10,1,lac,phx
game_0021900036,10/27/19,3:30 PM,GSW,OKC,Golden State Warriors,Oklahoma City Thunder,1,1,gsw,okc
game_0021900037,10/27/19,6:00 PM,BKN,MEM,Brooklyn Nets,Memphis Grizzlies,2,1,bkn,mem
game_0021900039,10/27/19,7:00 PM,MIA,MIN,Miami Heat,Minnesota Timberwolves,3,1,mia,min
game_0021900038,10/27/19,7:00 PM,POR,DAL,Portland Trail Blazers,Dallas Mavericks,4,2,por,dal
game_0021900040,10/27/19,9:30 PM,CHA,LAL,Charlotte Hornets,Los Angeles Lakers,5,1,cha,lal
